day_id,user_id,mood_id,title,thumb,description
1,1,2,"Colazione in un Café Parigino","/images/image1.jpg","Abbiamo iniziato la giornata con una colazione in un tipico café parigino, gustando croissant e caffè con una splendida vista sulla strada."
1,1,1,"Visita ai Giardini del Lussemburgo","/images/image2.jpg","Passeggiata nei bellissimi Giardini del Lussemburgo, godendoci il sole e l'atmosfera rilassante di questo spazio verde nel cuore di Parigi."
1,1,2,"Torre Eiffel","/images/image3.jpg","Visita alla Torre Eiffel, abbiamo raggiunto la cima per una vista spettacolare su Parigi."
1,1,1,"Passeggiata lungo la Senna","/images/image4.jpg","Una passeggiata rilassante lungo la Senna, ammirando i famosi ponti parigini."
2,1,,"Museo del Louvre","/images/image5.jpg","Esplorazione delle collezioni d'arte del Louvre, con particolare attenzione alla Monna Lisa."
2,1,3,"Jardin des Tuileries","/images/image6.jpg","Passeggiata nei bellissimi Jardin des Tuileries, godendo del sole e dei giardini curati."
3,1,2,"Giro in battello sulla Senna","/images/image7.jpg","Un giro in battello sulla Senna, con vista sui principali monumenti di Parigi."
3,1,1,"Sainte-Chapelle","/images/image8.jpg","Visita alla Sainte-Chapelle, famosa per le sue straordinarie vetrate colorate."
4,1,3,"Porta di Brandeburgo","/images/image9.jpg","Visita alla storica Porta di Brandeburgo, un simbolo di Berlino."
4,1,2,"Muro di Berlino","/images/image10.jpg","Esplorazione del Memoriale del Muro di Berlino e riflessioni sulla storia."
5,1,1,"Visita alla Cattedrale di Berlino","/images/image11.jpg","Abbiamo esplorato la magnifica Cattedrale di Berlino, uno dei simboli più imponenti della città, con una vista panoramica dalla sua cupola."
5,1,2,"Passeggiata sull'Isola dei Musei","/images/image12.jpg","Una passeggiata rilassante sull'Isola dei Musei, dove abbiamo ammirato l'architettura storica e visitato alcuni dei musei più importanti di Berlino."
6,1,,"East Side Gallery","/images/image13.jpg","Passeggiata lungo la East Side Gallery, dove l'arte incontra la storia."
7,1,2,"Acropoli di Atene","/images/image14.jpg","Esplorazione dell'Acropoli e del Partenone, ammirando l'antica architettura greca."
8,1,,"Quartiere Plaka","/images/image15.jpg","Scoperta del quartiere Plaka, pieno di stradine caratteristiche e negozi tradizionali."
9,1,1,"Museo dell'Acropoli","/images/image16.jpg","Visita al Museo dell'Acropoli per approfondire la conoscenza della storia greca."
10,1,3,"Quartiere di Alfama","/images/image17.jpg","Passeggiata nel quartiere storico di Alfama, con i suoi tram caratteristici."
11,1,2,"Torre di Belém","/images/image18.jpg","Visita alla Torre di Belém, un esempio magnifico di architettura manuelina."
12,1,,"Castello di São Jorge","/images/image19.jpg","Esplorazione del Castello di São Jorge, con una vista mozzafiato sulla città di Lisbona."
13,2,1,"Incrocio di Shibuya","/images/image20.jpg","Attraversamento dell'incrocio di Shibuya, uno dei più trafficati e iconici del mondo."
14,2,,"Tempio di Asakusa","/images/image21.jpg","Visita al Tempio di Asakusa, uno dei luoghi più sacri di Tokyo."
15,2,3,"Quartiere di Akihabara","/images/image22.jpg","Giornata trascorsa ad Akihabara, il paradiso degli appassionati di elettronica e cultura otaku."


